Article,Date,Heading,SportsType,Location,NamesBody,NamesHeading,Organizations
"PARIS:Olivier Giroud scored two goals and set up another as the Euro 2016 hosts France thrashed Iceland 5-2 on Sunday to set up a semi-final clash against world champions Germany.Giroud fired France ahead after just 12 minutes at a rain-drenched Stade de France with Paul Pogba then heading in his first goal of the tournament to double the hosts lead.Dimitri Payet struck two minutes before half-time to put France in complete control and Antoine Griezmann raced clear to add a fourth to round out Frances first-half blitz.Iceland, who beat England 2-1 to reach the last eight, put on another never-say-die performance. Kolbeinn Sigthorsson and Birkir Bjarnason grabbed second-half consolation goals either side of Girouds second but Iceland were overpowerd by Frances domination.Didier Deschamps men will take on Germany in Marseille on Thursday for a place in the final, while Iceland will return home as heroes after a remarkable run in their first appearance at a major tournament.""Germany are the best team, there is no doubt about that, even if Italy gave them a few scares. But we are there in the final four,"" said Deschamps.Iceland, who had never beaten France in 11 attempts, kept faith with the side that shocked England, making European Championship history as the first team to name an unchanged line-up for their first five matchesSamuel Umtiti became the first French outfield player to make his international debut during a major finals since 1966 as the Barcelona-bound defender replaced the suspended Adil Rami.Moussa Sissoko filled in for NGolo Kante, who was also serving a one-match ban, on the right side of midfield as Deschamps stuck with the 4-2-3-1 that helped France fight back to beat the Republic of Ireland in the last 16.",07-04-2016,France hammer Iceland to book Germany showd,football,PARIS,Deschamps;Sigthorsson;Adil Rami.Moussa Sissoko;Birkir Bjarnason;Paul Pogba;Paul;Olivier Giroud;Birkir;NGolo Kante;Antoine;Frances;Frances domination.Didier Deschamps;Sissoko;Bjarnason;Kante;Giroud;Antoine Griezmann;domination.Didier;NGolo;Griezmann;Kolbeinn;Adil;Olivier;Rami.Moussa;Pogba;Kolbeinn Sigthorsson,,
"Taunton, United Kingdom: Yasir Shah took four wickets and Azhar Ali made a century but Pakistan were denied victory as their England tour opener against Somerset ended in a draw.Leg-spinner Shah took four for 107 in 32 overs as Somerset, set an improbable 468 for victory, finished on 258 for eight at Taunton on Tuesday.Jack Leach (six not out) and Tim Groenewald (four not out) survived the last 16 balls of this three-day fixture.Earlier, veteran former England opener Marcus Trescothick made his 47th first-class hundred for Somerset.That equalled West Indies great Vivian Richardss tally for the south-west county and left the 40-year-old Trescothick just two shy of Harold Gimbletts Somerset record of 49 first-class centuries.Pakistan resumed Tuesday on 140 for four, with Azhar Ali 50 not out and Asad Shafiq unbeaten on 26.Ali went on to make 101 not out and shared a stand of 138 in 30 overs with Shafiq (69 not out) as Pakistan made 236 for four declared in their second innings.As soon as Ali had gone to his century, in 168 balls including 12 fours and two sixes, Pakistan captain Misbah-ul-Haq closed the innings.Adam Hose was out off what became the last ball before lunch when he was lbw to Shah for eight after he missed a quick, straight ball.strong>- Rapid Amir -</strongTim Rouse had made 14 when, taking his eye off the ball, he ducked into a rapid Mohammad Amir delivery and was struck on the helmet.A concerned Amir raised his hand in apology and Rouse, who changed helmets, needed at least five minutes of on-field treatment before resuming his innings.But soon afterwards he gamely cover-drove Amir for four.Amirs exciting career came to a shuddering halt during a Lords Test in 2010 when he and new-ball partner Mohammad Asif were caught bowling no-balls to order on the instructions of captain Salman Butt as part of a tabloid newspaper sting operation.But the 24-year-old Amir is now back in England and could make his Test return in the first of a four-match series at Lords on July 14.This was Amirs maiden first-class match in England since the spot-fixing row and he took three for 36 in Somersets first innings, swinging the ball at sharp pace.Trescothick was caught behind off Amir for just eight in the first innings but, with sunny conditions favouring batsmen, drove him down the ground on Tuesday.Rouse fell in similar fashion to Hose when he was lbw to Shahs quicker ball after making a gutsy 41 on his Somerset first-class debut and sharing a stand of 98 with Trescothick.Trescothick was 95 not out at tea, with Somerset 157 for two.The left-hander drove Shah for a single to go to a 105-ball century with 18 fours and a six.Trescothick was out soon afterwards, for 106, when he flat-footedly drove at a wide delivery from Rahat Ali and was caught behind.Somersets 183 for three soon became 226 for six, with Peter Trego playing on to Rahat Ali for a duck and James Hildreth (48) caught behind off Amir -- his lone wicket on Tuesday.Shah had Josh Davey dropped when Amir floored a simple catch at mid-off before bowling the Scotland paceman to leave Somerset 234 for seven.After several close calls, teenager Dom Bess eventually fell lbw to Shah for 27.That left Somerset 251 for eight but Pakistan were unable to force a victory.Pakistan now have one more three-day game, against Sussex at Hove starting Friday, before the first Test.",07-05-2016,Pakistans Shah takes four wickets as Somerset hold ou,cricket,Taunton,Davey;Vivian Richardss;Hildreth;Trescothick;Tim Groenewald;Shafiq;Groenewald;Leach;Gimbletts;Hose;Bess;Yasir;Richardss;Mohammad Asif;Dom;Mohammad Amir;Butt;Marcus;Yasir Shah;Peter Trego;Rouse;Dom Bess;Vivian;James Hildreth;Asad Shafiq;Misbah-ul-Haq;Josh;Josh Davey;Rahat;Somerset;James;Harold;Asad;Amir;Azhar;Azhar Ali;Mohammad;Marcus Trescothick;Asif;Salman;Rahat Ali;Tim;Trego;Shah;Salman Butt;Peter;Harold Gimbletts Somerset;Ali,Shah;Yasir Shah,Amirs;Sussex;Somerset
"Taunton, United Kingdom: Azhar Ali made an unbeaten century to strengthen Pakistans position on the final day of their England tour opener against Somerset at Taunton on Tuesday.Ali (101 not out) and Asad Shafiq (69 not out) shared a stand of 138 in 30 overs as Pakistan made 236 for four declared in their second innings.That left Somerset needing a huge total of 468 in 73 overs for victory.But given Somerset had collapsed to 128 in their first innings, with left-arm paceman Mohammad Amir taking an impressive three for 36, just holding out for a draw would be a fine achievement for the south-west county.However, a sunny day at Taunton meant there was less swing in the air for Pakistans pacemen than earlier in the match.Veteran Somerset opener Marcus Trescothick, the former England batsman, drove both Amir and Sohail Khan down the ground.He also late cut Khan for a couple of fours.At lunch, Somerset were 47 for one with 40-year-old left-hander Trescothick 37 not out.But first-class debutant Adam Hose was out off what became the last ball before lunch when he was lbw to leg-spinner Yasir Shah for eight after he missed a ball that went straight on.Pakistan resumed Tuesday on 140 for four, with Ali 50 not out and Shafiq unbeaten on 26.Shafiq went on to complete a 76-ball fifty with seven fours.The pair were especially severe on Somersets spinners on Tuesday, with the 31-year-old Ali hoisting teenager Dom Bess for two huge sixes over long-on in successive balls.As soon as Ali had gone to his 26th first-class century, in 168 balls including 12 fours and two sixes, Pakistan captain Misbah-ul-Haq declared.Amir took three for 36 in 11 overs in Somersets meagre first innings.Amirs exciting career came to a shuddering halt during a Lords Test in 2010 when he and new-ball partner Mohammad Asif were caught bowling no-balls to order on the instructions of captain Salman Butt as part of a tabloid newspaper sting operation.All three received five-year bans from cricket and together with sports agent Mazhar Majeed, jail terms.Amir, who served three months in an English young offenders institute, has only featured in the games shorter formats since his return to Pakistan duty in January.But the 24-year-old left-armer is now back in England and could make his Test return in the first of a four-match series at Lords on July 14.",07-05-2016,Ali century builds on Amir haul in Pakistan opener,cricket,Taunton,Dom Bess;Trescothick;Khan;Shafiq;Asad Shafiq;Sohail Khan;Mazhar Majeed;Misbah-ul-Haq;Hose;Bess;Yasir;Dom;Mohammad Asif;Majeed;Mohammad Amir;Mazhar;Asad;Amir;Azhar;Butt;Azhar Ali;Mohammad;declared.Amir;Marcus Trescothick;Adam;Asif;Marcus;Misbah-ul-Haq declared.Amir;Yasir Shah;Sohail;Salman;Shah;Salman Butt;Adam Hose;Ali,Amir;Ali;Mohammad Amir;Azhar Ali,Somerset
"LONDON: Serena Williams made the most of a break in her match against 13th seed Svetlana Kuznetsova on Monday, when the Centre Court roof was closed after she threatened to sue organisers if she fell and injured herself on the slippery turf.The world number one, who subsequently made light of the threat, began as if late for an Independence Day appointment, serving a succession of aces and then hitting a brace of groundstroke winners to break her opponent in the fourth game.Bidding to equal Steffi Graf's professional-era record of 22 grand slam titles, Williams failed to keep up the momentum and found herself 5-4 down when the Russian broke with a crosscourt backhand winner that left the American sprawled on the ground.But the Russian, herself a double grand slam winner and three-times Wimbledon quarter-finalist, failed to serve out the set.With drizzle imminent, a ballboy losing his footing and both players complaining about the slippery conditions -- and with Williams threatening to sue if she got injured -- the match was suspended at 5-5 for the roof to be closed.After the encounter the American said the comment was not meant seriously.""What I say on the court, whether it's smashing my rackets, it's in the heat of the moment,"" said the American, who picked up a $10,000 fine for racket abuse in an earlier match at the tournament.""I have no plans, no future of suing Wimbledon. Let's get serious. That's not what I do.""strong>COOLING OFF</strongAs well as having a chance to cool off, Williams was able to refocus her game with coach Patrick Mouratoglou and did not drop a single game after play resumed.""I had a little time to think about it and just calm down... I think that really helped me out a lot. I talked to Patrick. He gave me some tips on what I could do,"" she said.Kuznetsova beat Williams on a hardcourt at the Miami Open in March and, prior to the break, was more than holding her own. She frustrated the American by varying her pace well and mixing in slices and dropshots.Whatever words of wisdom Mouratoglou imparted, the six-times Wimbledon champion was too hot to handle after the break, reeling off the last eight games in a 7-5 6-0 win.The number one seed faces another Russian, Anastasia Pavlyuchenkova, in the quarter-finals, where she was joined for the first time since 2010 by older sister Venus.""It's great,"" the younger Williams said. ""She's been doing a lot of improvements. That's been really good for her and super encouraging for me.""",07-05-2016,Serena powers into quarters as roof break turns ,tennis,LONDON,Mouratoglou;Serena Williams;Svetlana Kuznetsova;Pavlyuchenkova;Anastasia Pavlyuchenkova;Kuznetsova;Steffi;Graf;Patrick Mouratoglou;Patrick;Williams;Anastasia;Svetlana;Venus;Steffi Graf;Serena,Serena;Serena Williams,Centre Court
"Karachi: Pakistans former fast bowler Shoaib Akhtar has laughed off claims by Harbhajan Singh that he and Yuvraj Singh were once beaten by the pacer in a hotel room in Pakistan.""I think he has made a big deal of it. Yes, it did happen during 2004 when we were playing a Test in Rawalpindi. But it was nothing serious and all fun,"" Akhtar clarified.""Basically we were doing some arm wrestling and that is all,"" Akhtar said. Harbhajan narrated the incident during a show on an Indian television channel and his claims were highlighted by Pakistani media.Harbhajan said in an Indian Tv show that former Pakistan fast bowler Shoaib Akhtar was a player with whom he often had spat with though they were friends off the field.Shoaib abused me a lot. He used to sit with us, ate with us. Since he was too close to us, maybe he used to take us for granted. He challenged me once to hit a six and when I hit a six, he was shocked. He then bowled two consecutive bouncers which I evaded. He then abused me and I replied back. But after the game, we sat together as if nothing happened.Shoaib once threatened me he would come to my room and beat me. I told him come, lets see who beats whom. I was really scared. He is a great hulk. He once bashed me and Yuvi (Yuvraj Singh) inside a room. Since he was heavy, it was difficult to catch him, Harbhajan said.",07-05-2016,Shoaib Akhtar laughs off Harbhajan Singh bashing clai,wrestling,Karachi,Yuvraj;Harbhajan Singh;Shoaib Akhtar;Harbhajan;Shoaib;Akhtar;Singh;Yuvraj Singh,Shoaib Akhtar,
"MADRID: Spanish champions Barcelona have exercised the buy-back clause to re-sign midfielder Denis Suarez from Villarreal, the Catalan club announced on Monday.The 22-year-old has signed a four-year contract with an option of extending it for a further year after Barcelona agreed to pay 3.25 million euros ($3.62 million) to re-sign Suarez, whose buy-out clause has been set at 50 million euros.The attacking midfielder made 48 appearances during his one season at the El Madrigal and played a key role in helping the club finished fourth in La Liga to earn a Champions League playoff spot and reach the Europa League semi-finals.The former Manchester City player will undergo a medical on Tuesday and will be unveiled on Wednesday.",07-05-2016,Barcelona buy back midfielder Suarez from Villarr,football,MADRID,Denis Suarez;Suarez;Denis;Villarreal,Suarez;Denis Suarez,La Liga;Barcelona;Manchester City
"ISLAMABAD: Pakistan chief selector Inzamam-ul-Haq has critisised the England captain Alastair Cook over his comments on pacer Mohammad Amir.The England captain had hinted Amir will have to face 'consequences' in the form of a hostile reception when he plays the first Test at Lord's from July 14.While talking to Geo Tv on Monday, Inzamam asked, """"How would the England captain feel if they were in Pakistan and our captain made a similar statement about some player?""""I see this as the start of a campaign to start pressuring Amir. Because not only England but even Australia and South Africa see him as a threat. And he can be a match-winner in England,"" Inzamam said.The chief selector said he would advise Misbah-ul-Haq to take some steps to counter this pressure.""I think it would be a good idea if Amir was not made to field at the boundaries because he will then face hostile comments and remarks. It is best to keep him away from the crowd at the start,"" he said.""But to me there is sympathy for Amir in England and the best way he can answer is to perform in the series and I am confident he can do it,"" added the former captain.",07-05-2016,Inzamam blasts Cook comments Mohammad Amir,cricket,ISLAMABAD,Inzamam-ul-Haq;Cook;Amir;Alastair;Inzamam;Mohammad;Alastair Cook,Mohammad Amir;Cook;Inzamam;Alastair Cook,
"LONDON: England have major concerns about the planned tour to Bangladesh later this year, the team's limited-overs captain Eoin Morgan has said in the wake of Friday's attack by gunmen at an upmarket Dhaka restaurant that left 20 dead.An England and Wales Cricket Board (ECB) spokesman said they would follow government advice on the trip to the South Asian country, where the team were due to play three one-day internationals and two tests from Oct. 7 to Nov. 1.""I think it is quite a big concern at the moment,"" Morgan told reporters. ""We've always left the big decisions to the ECB.""They write reports, send guys out to see if it's safe then come back to the players to see if they're happy or unhappy. But certainly it's a concern at the moment.""Security concerns have been a major issue in South Asia, starving Pakistan of international sports at home, while the Australian cricket team postponed their Bangladesh tour last year and then pulled out of the under-19 World Cup following a warning from their government.The Bangladesh Cricket Board said England's reaction was normal but hoped the tour would go ahead as scheduled.When asked if the matches could be played on neutral territory, Morgan said: ""I think that could be feasible if that came to it.""",07-05-2016,England skipper Morgan Bangladesh tour concer,cricket,LONDON,Morgan;Eoin Morgan;Eoin,,Bangladesh Cricket Board;ECB;Wales Cricket Board
"SYDNEY: Eleven-time world champion Anna Meares spearheads a medal-hungry Australian cycling team announced on Tuesday for the Olympic Games, with the track star gunning for a third gold medal in Rio de Janeiro.Meares will line up with Olympic debutant Stephanie Morton in the team sprint and also compete in the keirin while aiming to defend her London 2012 sprint title.""Its a really nice feeling to make it to my fourth Games,"" said Meares, who set a new record haul of gold medals by winning the womens keirin at the World Track Cycling Championships in France this year.""It (Rio) was the one event I wanted to make after London and although its been a long road I know the next few weeks leading into Rio are going to fly by.""I think Ill be going to Rio in the best physical form I have ever been in my career and Im ready to do my absolute best for this team and my country.""Meares, 32, will become just the third female cyclist in Olympic history to compete in four Olympics on the track and is excited about the depth of talent and gold medal chances for the team.""Our sprint team are going to be very strong in Rio. Ive had a lot to do with the prospective Rio sprint athletes and Ive really enjoyed that experience,"" said Meares, who is tipped to be Australias flag carrier at the opening ceremony.""I also think there are exciting times ahead for both the mens and womens endurance teams.""Rising star Pat Constable will partner world number one Matt Glaetzer in the mens sprint, while London Olympian Annette Edmondson will lead the womens teams pursuit.Her brother Alex will join her in Rio after being named in the mens endurance team.",07-05-2016,World champ Meares spearheads Aussie cycling ,cycling,SYDNEY,Alex;Annette;Matt Glaetzer;Stephanie Morton;Edmondson;Annette Edmondson;Matt;Anna Meares;Meares;Morton;Stephanie;Rio;Ive;Glaetzer;Anna,Meares;Anna Meares,
"PARIS: One is an ""Eau de toilette"" kind of character, the other more ""wake up and smell the coffee"".Cristiano Ronaldo is immaculately groomed, makes a point of posing for the cameras when he scores, is often captured scowling at his colleagues and recently launched his own men's fragrance called ""Legacy"".Gareth Bale is constantly encouraging his team mates and is described by his manager as ""the most down-to-earth boy you could meet.""The world's two most expensive footballers, who play alongside each other at Real Madrid, will go head-to-head when Bale's Wales meet Ronaldo's Portugal in their Euro 2016 semi-final in Lyon on Wednesday.In playing terms, both are the leaders of their teams but they take very different approaches to their role.While Bale is widely acclaimed as an inspiration for his national team, Ronaldo's influence on Portugal is the subject of debate.Ronaldo's team mates routinely leap to his defence and emphasise that he is always working for them.""Cristiano has worked for the squad and it's the only the squad which matters here,"" said midfielder Andre Gomes.""Maybe people were expecting more goals, (but) he has made a huge contribution to the national team and it's not the moment to start questioning a player.""Coach Fernando Santos added that Ronaldo has sacrificed himself for the team.""He is an example, as captain, of the spirit of this team, of this team's determination, he wants to do well and he wants to win, in this aspect he has been fantastic. He's an example of what the team is,"" he said.Even so, the 31-year-old three-times World Player-of-the-Year has often struggled with an image problem, especially when he said two years ago that Portugal needed ""two or three Cristiano Ronaldos.""He insists on taking every free kick within - and often beyond - shooting distance, prompting suggestions that he is selfish, and is regularly captured on television cameras remonstrating angrily with his team mates.Nani, a veteran of more than 100 caps, is invariably berated if he dares to try a shot rather than feed the ball to the ""senior partner.""Earlier in the tournament Ronaldo threw a reporter's microphone into a lake when he was asked a question during a team walk and was criticised for disparaging remarks he made about Iceland after Portugal drew 1-1 with the rank outsiders in their opening match.He has not even turned up at any of the daily press conferences which Portugal hold at their camp.Bale, in comparison, has taken part in at least four, looks relaxed, and is not afraid to stir up some controversy such as when he said that no England players would get into the Wales side, adding that Wales were more passionate than their larger neighbours.Television images tend to show him encouraging his team mates rather than gesticulating angrily and complaining.They are obviously different types of people and different characters, said Wales manager Chris Coleman.Whatever Bale brings to the table for us, that's him. He's not manufactured. He doesn't try to be something he's not.Gareth is clearly a special player. For us he is special, not just because of his talent but what he represents when he plays for Wales.He appreciates what he has around him and they appreciate they have a super talent. It's a good blend.",07-05-2016,Ronaldo Bale take different approaches to leadership r,football,PARIS,Ronaldo;Coleman.Whatever;Bale;Cristiano Ronaldo;Gareth Bale;Gomes;Gareth;Chris;Cristiano;Ronaldos;Chris Coleman.Whatever Bale;Andre;Andre Gomes;Fernando Santos;Santos;Fernando;Cristiano Ronaldos,Ronaldo Bale,Real Madrid;Bale
"Taunton: Marcus Trescothick warned Englands batsmen to expect a tough time in the middle facing Mohammad Amir after he became the Pakistanis maiden first-class wicket on English soil in six years on Monday.Amir took three for 36 in 11 overs in Pakistans opening match of their England tour against Somerset at Taunton.Somerset slumped to 128 all out in reply to Pakistans first innings 359 for eight declared -- a deficit of 231 runs.Pakistan captain Misbah-ul-Haq opted against enforcing the follow-on and at stumps, on the second day of three, the tourists were 140 for four for in their second innings -- a huge lead of 371 runs.Azhar Ali was 50 not out and Asad Shafiq 26 not out.<br/>Amirs exciting career came to a shuddering halt during a Lords Test in 2010 when he and new-ball partner Mohammad Asif were caught bowling no-balls to order on the instructions of captain Salman Butt as part of a tabloid newspaper sting operation.All three received five-year bans from cricket and together with sports agent Mazhar Majeed, jail terms.Amir, who served three months in an English young offenders institute, has only featured in the games shorter formats since his return to Pakistan duty in January.But the 24-year-old is now back in England and could make his Test return in the first of a four-match series at Lords on July 14.The floppy hair he had as a teenager may have been replaced by a shorter haircut and a goatee beard, but the whippy action that made Amir one of crickets hottest properties was still on show at south-west county Somersets headquarters ground.After Pakistan had declared on Monday morning following a century by Younis Khan, Amir took the new ball.Trescothick took two fours off Amirs opening over. But Amir struck with his 14th ball back in first-class cricket on English soil.Left-hander Trescothick, on eight, could only edge a superb outswinger that moved late and wicket-keeper Sarfraz Ahmed held an excellent diving catch.Amir had another wicket when a full-length inswinger bowled first-class debutant Adam Hose (10).And eight minutes after lunch, Amir bowled Peter Trego (23) with another fine inswinger that knocked over the batsmans middle stump and left the other two standing.""He bowled very well,"" said the 40-year-old Trescothick, whose nine-balls faced on Monday were all bowled by Amir, after stumps.""He swung the ball really late, thats the biggest thing we noticed.<br/>""In my magnificent eight I thought it was pretty hard work, it was tricky,"" added Trescothick, who in 76 Tests from 2000-2006 scored 5,825 runs at an average of nearly 44 with 14 hundreds./><strong>Guessing</strong""You get a lot of bowlers who swing it quite early but he (Amir) was swinging it late and as it was coming down the pitch you were almost guessing whether it was an inswinger or whether it was one of the straight ones,"" the Somerset stalwart explained.Trescothick was in no doubt that, on this form, Amir could threaten Englands current top order.""On that performance yes he will cause problems for England. ""He got Adam Hose with a good inswinger round the wicket and Pete Trego got an absolute beauty.""That bit of extra pace is the thing. He hasnt played international cricket for a number of years so theres probably an extra bit of zip that he has that makes him hard work.""Despite suggestions from England captain Alastair Cook that spectators might jeer Amir, there was nothing but polite applause as he came on to bowl in Taunton.""I dont think youd expect anything else,"" said Trescothick. ""We get on and play the game and it is what it is.""Meanwhile Pakistan opener Shan Masood said of Amir: ""He hasnt lost it. If anything, hes just got better.""England swept aside Sri Lanka 2-0 in a three-match Test series and have an impressive home record.""We have to respect England, how good they are ... but were up for it,"" insisted Masood.""Were ready to come to England and give them a good match.""",07-05-2016,Trescothick issues Amir warning,cricket,Taunton,Younis Khan;Shan Masood;Trescothick;Shafiq;Younis;Mazhar Majeed;Pete Trego;Masood;Hose;Mohammad Asif;Majeed;Mohammad Amir;Butt;Adam;Marcus;Peter Trego;Shan;Sarfraz Ahmed;Cook;Khan;Alastair;Asad Shafiq;Misbah-ul-Haq;Alastair Cook;Ahmed;Pete;Mazhar;Sarfraz;Amir;Asad;Mohammad;Marcus Trescothick;Asif;Salman;Trego;Salman Butt;Peter;Adam Hose;Ali,Trescothick;Amir;Marcus Trescothick;Mohammad Amir,Taunton.Somerset;Amirs;Somerset
"Paralympic gold medallist Oscar Pistorius will not appeal a six-year prison sentence given by a South African High Court judge on Wednesday for the 2013 murder of his girlfriend, Reeva Steenkamp, his defence team said.Pistorius will serve ""between half and two thirds of the sentence"" before he can apply for parole, said Andrew Fawcett, Pistorius' instructing attorney.Pistorius was sent to prison for six years on Wednesday for the 2013 murder of his girlfriend, Reeva Steenkamp, the latest twist in a trial that has gripped the world.The state and large sections of the South African public had called for him to receive no less than the prescribed minimum 15-year sentence for murder, saying Pistorius had shown no remorse for the killing.Judge Thokozile Masipa disagreed, accepting the defence's arguments for a lesser punishment.""Public opinion may be loud and persistent but it can play no role in the decision of this court,"" Masipa said. ""I am of the view that a long term in prison will not serve justice.""It was not clear whether the state would appeal the verdict.Dressed in a dark suit, the 29-year-old stared straight ahead as Masipa read out the sentence.Pistorius was found guilty of murdering Steenkamp by an appeals court last December. He had initially received a five-year sentence for a manslaughter conviction in 2014 handed down by Masipa, a ruling derided by women's groups as too lenient.",07-06-2016,Pistorius defence team say will not appeal six year ,paralympics,,Steenkamp;Pistorius;Andrew;Masipa;Fawcett;Reeva;Andrew Fawcett;Reeva Steenkamp;Oscar Pistorius;Oscar,Pistorius;Oscar Pistorius,
"BARCELONA: Barcelona soccer star Lionel Messi has been sentenced to 21 months in prison after a court in Barcelona found him guilty of three counts of tax fraud, a statement from the court said on Wednesday.The court also sentenced the Argentine soccer player's father, Jorge, to 21 months in prison for the same three crimes. The sentence can be appealed through the Spanish supreme court, the statement said.However, under Spanish law a prison sentence under two years can be served under probation, meaning Messi and his father are unlikely to go to jail.The court ordered Messi to pay a fine of around 2 million euros ($2.21 million) and his father to pay 1.5 million euros for the crimes.",07-06-2016,Barcelona soccer star Messi sentenced to 21 months in pri,football,BARCELONA,Lionel Messi;Messi;Jorge;Lionel,Messi;Lionel Messi,Barcelona;BARCELONA
"MELBOURNE: Australias cricket board has banned two players for betting on matches and given a suspended ban to a third as part of its ""zero tolerance"" approach to gambling-related corruption.Hayley Jensen and Corinne Hall, who play in the national womens league and womens domestic Twenty20 tournament, were both given two-year bans with 18 months suspended, Cricket Australia said in a media release on Wednesday.Jensen had admitted placing one bet on the result of the mens test match between Australia and New Zealand in Brisbane last November.Hall had made two bets relating to two matches in the mens domestic one-day competition in 2015-16.""Jensen and Hall are prohibited from participating in any form of cricket or cricket-related event for a period of six months until 21 October 2016,"" CA said.Joel Logan, who plays for South Australia in the mens domestic competition, was sanctioned for placing two bets on the winner of the World T20 tournament.Logan was also given a two-year ban but it was wholly suspended due to ""circumstances relating to his match contracts and the specific timing"" of his bets.All three players were required to participate in anti-corruption education programs, the board said.""We take a proactive, zero-tolerance approach to maintaining the integrity of our sport and this includes any form of betting on cricket globally,"" CAs integrity boss Iain Roy said.These players have accepted the seriousness of their errors and have voluntarily accepted their sanctions.""CA in February banned 19-year-old womens cricketer Piepa Cleary for six months, with another 18 months suspended, for placing six bets totalling A$15.50 ($11.50) on a mens test match between Australia and New Zealand in November.That followed a two-year suspended sentence given to Sydney-based womens cricketer Angela Reakes in December for placing five bets worth a total of A$9 on the man-of-the-match for last years cricket World Cup final.",07-06-2016,Australia board slaps bans on three players for betting,cricket,MELBOURNE,Jensen;Corinne;Reakes;Iain Roy;Piepa Cleary;Piepa;Angela;Corinne Hall;Angela Reakes;Cleary;Hall;Roy;Iain,,Cricket Australia
"EVIAN: Germany coach Joachim Loew has been forced to make changes to his team for Thursday's semi-final against hosts France at Euro 2016 because of injuries and a suspension, including replacing key goalscorer Mario Gomez.Gomez, whose two goals helped the world champions to the last four, has been forced out of the rest of the tournament with a pulled hamstring. Holding midfielder Sami Khedira will also miss the clash because of a groin injury.Central defender Mats Hummels completes the trio of absentees, sitting out the game due to suspension following a second booking in the Germans' quarter-final victory over Italy on penalties.Chasing a fourth European title, Germany could also be without Bastian Schweinsteiger. Loew has ruled out using his captain unless he has recovered fully from a knee ligament injury.The German boss has to decide what to do with his forward line and whether to use Mario Goetze, Lukas Podolski, Thomas Mueller or Leroy Sane. Goetze and Mueller have both been struggling with their form.In defence Loew is unlikely to deploy a three-man central defence as he did against Italy.""Against France I still have to think about it. Italy are a team with automated plays. They are world class in playing them but they are predictable,"" Loew told reporters.""France are different. They constantly change positions, they are much more unexpected and difficult to predict.""Loew is likely to use Emre Can as Khedira's replacement with Benedikt Hoewedes slipping into the central defence for Hummels.The French are feeling confident following their 5-2 demolition of Iceland and the euphoria in the country is growing. But, in order to reach a home final in Paris on July 10, Didier Deschamp's team must plug their porous defence.Leading 4-0 at halftime against Iceland, France dropped their guard, conceding two goals. Centre back Samuel Umtiti, playing his first international, was not totally commanding and Adil Rami, who was suspended, could return for the German game.Rami, however, has shown signs of nerves on several occasions, as has left back Patrice Evra, leaving France's defence looking vulnerable, notably from set pieces.""We're looking better but Germany remains Germany,"" said Deschamps, whose side lost to the eventual winners in the 2014 World Cup quarter-finals as well as suffering painful semi-final defeats to the Germans at the 1982 and 1986 World Cups.""They are the best team in Europe and in the world and the only ones totally controlling the situation, with technical quality everywhere, from the goalkeeper to the forwards,"" said the coach.""We'll fight for our chances, knowing what we are up against.""",07-06-2016,Germany forced to make key changes for semi fi,football,EVIAN,Sami Khedira;Sane;Thomas Mueller;Patrice Evra;Deschamp;Rami;Mario;Samuel;Mats;Didier;Hoewedes;Joachim;Adil Rami;Umtiti;Podolski;Mario Gomez.Gomez;Sami;Bastian Schweinsteiger;Loew;Didier Deschamp;Adil;Bastian;Deschamps;Mats Hummels;Lukas Podolski;Leroy Sane;Patrice;Goetze;Gomez.Gomez;Khedira;Schweinsteiger;Benedikt;Thomas;Evra;Mueller;Mario Goetze;Hummels;Samuel Umtiti;Benedikt Hoewedes;Joachim Loew;Lukas;Leroy,,
"Southampton: Josh Buttler led England to an eight-wicket victory in the T20 international against Sri Lanka in Southampton on Tuesday.The Lancashire big hitter was in explosive mood as he smashed 73 not out and captain Eoin Morgan, who made an unbeaten 47, thrilled The Ageas Bowl crowd.Their 117-run third wicket partnership left Sri Lanka, who had been dismissed for 140 off their 20 overs, a beaten side as they failed to win an international on English soil.England were unbeaten in the summer campaigns with Sri Lanka, winning the Test series, ODI series and this one-off T20 contest.",07-06-2016,England beat Sri Lanka by eight wickets in T20 internati,cricket,Southampton,Morgan;Eoin Morgan;Josh;Buttler;Eoin;Josh Buttler,,Southampton
